Номер,Article Title,Source,Words,Persistent URL
1,В Пьяной гавани жить,"Sankt-Peterburgskie vedomosti, No.1, January 09, 2020, page(s):1",426,https://dlib.eastview.com/browse/doc/56846019
1,"Крушение ""Боинга"" в Иране","Sankt-Peterburgskie vedomosti, No.1, January 09, 2020, page(s):1",184,https://dlib.eastview.com/browse/doc/56846013
1,Ленинградская область. Оборот промпредприятий,"Sankt-Peterburgskie vedomosti, No.1, January 09, 2020, page(s):1",133,https://dlib.eastview.com/browse/doc/56846016
1,Миллиарды на здоровье,"Sankt-Peterburgskie vedomosti, No.1, January 09, 2020, page(s):1",94,https://dlib.eastview.com/browse/doc/56846014
1,"По ""Турецкому потоку"" пошел газ","Sankt-Peterburgskie vedomosti, No.1, January 09, 2020, page(s):1",94,https://dlib.eastview.com/browse/doc/56846012
1,Рекомендации Росавиации,"Sankt-Peterburgskie vedomosti, No.1, January 09, 2020, page(s):1",100,https://dlib.eastview.com/browse/doc/56846015
1,Рождество на Песках,"Sankt-Peterburgskie vedomosti, No.1, January 09, 2020, page(s):1",875,https://dlib.eastview.com/browse/doc/56846017
1,"Фасады сохранят, СКК приспособят","Sankt-Peterburgskie vedomosti, No.1, January 09, 2020, page(s):1",487,https://dlib.eastview.com/browse/doc/56846018
1,Бизнес на разбитых тачках,"Sankt-Peterburgskie vedomosti, No.1, January 09, 2020, page(s):2",294,https://dlib.eastview.com/browse/doc/56846023
1,"Парики, погоны, карты...","Sankt-Peterburgskie vedomosti, No.1, January 09, 2020, page(s):2",551,https://dlib.eastview.com/browse/doc/56846024
1,Ушастой дадут волю,"Sankt-Peterburgskie vedomosti, No.1, January 09, 2020, page(s):2",207,https://dlib.eastview.com/browse/doc/56846022
1,Князь Серебряный озолотился,"Sankt-Peterburgskie vedomosti, No.1, January 09, 2020, page(s):7",691,https://dlib.eastview.com/browse/doc/56846027
1,Отмороженные,"Sankt-Peterburgskie vedomosti, No.1, January 09, 2020, page(s):7",689,https://dlib.eastview.com/browse/doc/56846026
1,Попали в камеру,"Sankt-Peterburgskie vedomosti, No.1, January 09, 2020, page(s):7",778,https://dlib.eastview.com/browse/doc/56846025
1,Ветеранам - бесплатно,"Sankt-Peterburgskie vedomosti, No.1, January 09, 2020, page(s):8",291,https://dlib.eastview.com/browse/doc/56846030
1,Откуда гусь в сапогах,"Sankt-Peterburgskie vedomosti, No.1, January 09, 2020, page(s):8",591,https://dlib.eastview.com/browse/doc/56846031
2,Два флота у берегов Крыма,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):1",122,https://dlib.eastview.com/browse/doc/56876052
2,Для чего открыли небо,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):1",797,https://dlib.eastview.com/browse/doc/56876057
2,Еще 40 месторождений,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):1",91,https://dlib.eastview.com/browse/doc/56876053
2,Не унывать и не осуждать,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):1",2025,https://dlib.eastview.com/browse/doc/56876058
2,Петербург. Оборот промпредприятий,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):1",127,https://dlib.eastview.com/browse/doc/56876056
2,Приватизация продолжается,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):1",105,https://dlib.eastview.com/browse/doc/56876054
2,Яблоки сада-гиганта,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):1",110,https://dlib.eastview.com/browse/doc/56876055
2,Как пройти к Николе,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):2",360,https://dlib.eastview.com/browse/doc/56876063
2,Плюс это не минус,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):2",287,https://dlib.eastview.com/browse/doc/56876061
